steps,time,reward,delta,converged
1,0.0061101541466968,0.6666666666666666,0.3333333333333333,False
2,0.0059641705469317685,0.9814814814814814,0.1111111111111111,False
3,0.008427555638618855,1.1270576131687242,0.02932098765432098,False
4,0.0057596524602985255,1.1856567215363512,0.010288065843621401,False
5,0.0055583079301868565,1.2097904124117258,0.003250743026977594,False
6,0.005129877800442273,1.2196943847306192,0.0012074188385916788,False
7,0.00572862212990799,1.2237118410721979,0.0004246010199156613,False
8,0.005221910939425811,1.2253324376990493,0.00016275766030471924,False
9,0.0055533712867088525,1.2259853554601752,5.945579913660881e-05,False
10,0.005171134035151681,1.226248252625809,2.3037924126326735e-05,False
11,0.0059620548425840525,1.2263538882757596,8.580737650816625e-06,True
